timestamps,,,,,Marker
1496178846.365,784.567,127.906,1222.448,786.688,0
1496178846.366,1206.378,160.565,1466.684,606.952,0
1496178846.366,1698.049,565.445,1963.244,1156.921,0
1496178846.367,1262.729,518.876,1709.091,1334.183,0
1496178846.367,760.269,110.041,1223.413,790.843,0
1496178846.367,1168.388,132.168,1474.979,616.350,0
1496178846.367,1643.462,533.603,1962.477,1156.599,0
1496178846.369,1220.314,501.736,1715.243,1334.426,0
1496178846.369,770.633,120.374,1218.719,785.207,0
1496178846.425,1163.945,135.336,1464.358,612.057,0
1496178846.425,1644.842,534.886,1966.542,1164.053,0
1496178846.425,1239.769,508.396,1713.415,1332.268,0
1496178846.425,755.931,105.942,1218.371,785.158,0
1496178846.426,1181.103,148.979,1472.552,618.217,0
1496178846.426,1652.535,544.251,1956.194,1156.080,0
1496178846.427,1231.123,504.122,1720.816,1338.551,0
1496178846.427,780.035,119.413,1222.706,786.052,0
1496178846.428,1171.671,137.374,1467.148,602.483,0
1496178846.428,1661.443,547.205,1963.012,1159.505,0
1496178846.429,1237.436,505.737,1703.197,1330.664,0
1496178846.429,758.362,109.996,1217.156,786.157,0
1496178846.455,1186.066,153.485,1475.106,611.552,0
1496178846.455,1659.046,545.777,1971.711,1157.048,0
1496178846.455,1230.962,506.934,1723.452,1346.140,0
1496178846.455,750.216,109.177,1223.364,790.461,0
1496178846.456,1151.599,130.702,1475.600,612.094,0
1496178846.457,1609.556,512.308,1980.522,1172.300,0
1496178846.485,1159.623,464.662,1717.671,1345.197,0
